prompt,story_text,genre,length
You find a map with an 'X' marked in the desert.,"You find a map with an 'X' marked in the desert. A new ally appears, offering wisdom and guidance.",Fantasy,19
A stranger gives you a key with strange symbols.,"A stranger gives you a key with strange symbols. A new ally appears, offering wisdom and guidance.",Horror,17
An old wizard offers you two potions.,"An old wizard offers you two potions. A new ally appears, offering wisdom and guidance.",Adventure,15
The king announces a dangerous quest.,The king announces a dangerous quest. The path ahead splits into choices with unknown fates.,Mystery,15
The king announces a dangerous quest.,The king announces a dangerous quest. The journey takes an unexpected turn as shadows creep closer.,Adventure,16
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The journey takes an unexpected turn as shadows creep closer.,Horror,21
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The world around you shifts into something unrecognizable.,Adventure,17
The king announces a dangerous quest.,The king announces a dangerous quest. The path ahead splits into choices with unknown fates.,Mystery,15
You wake up in a haunted castle.,"You wake up in a haunted castle. A new ally appears, offering wisdom and guidance.",Mystery,15
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The world around you shifts into something unrecognizable.,Horror,19
The king announces a dangerous quest.,The king announces a dangerous quest. Your courage is tested as the story unfolds.,Fantasy,14
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. You feel a strange energy guiding your path forward.,Fantasy,17
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Your courage is tested as the story unfolds.,Sci-Fi,17
An old wizard offers you two potions.,An old wizard offers you two potions. The world around you shifts into something unrecognizable.,Fantasy,15
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The artifact in your hand begins to glow with power.,Sci-Fi,21
An old wizard offers you two potions.,An old wizard offers you two potions. Your courage is tested as the story unfolds.,Mystery,15
An old wizard offers you two potions.,An old wizard offers you two potions. Your courage is tested as the story unfolds.,Adventure,15
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. Voices whisper promises of power and betrayal.,Horror,15
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The artifact in your hand begins to glow with power.,Horror,19
A stranger gives you a key with strange symbols.,"A stranger gives you a key with strange symbols. Danger lurks in every corner, but hope keeps you moving.",Adventure,19
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The path ahead splits into choices with unknown fates.,Mystery,18
You wake up in a haunted castle.,You wake up in a haunted castle. The path ahead splits into choices with unknown fates.,Mystery,16
A child discovers a talking animal in the garden.,"A child discovers a talking animal in the garden. Danger lurks in every corner, but hope keeps you moving.",Sci-Fi,19
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The artifact in your hand begins to glow with power.,Mystery,21
An old wizard offers you two potions.,"An old wizard offers you two potions. Danger lurks in every corner, but hope keeps you moving.",Mystery,17
You stumble upon a secret underground library.,You stumble upon a secret underground library. The path ahead splits into choices with unknown fates.,Adventure,16
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The path ahead splits into choices with unknown fates.,Mystery,20
A detective receives a letter with no return address.,"A detective receives a letter with no return address. Danger lurks in every corner, but hope keeps you moving.",Adventure,19
An old wizard offers you two potions.,An old wizard offers you two potions. Voices whisper promises of power and betrayal.,Adventure,14
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. You uncover secrets that change your destiny forever.,Sci-Fi,17
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The journey takes an unexpected turn as shadows creep closer.,Adventure,21
A detective receives a letter with no return address.,A detective receives a letter with no return address. The artifact in your hand begins to glow with power.,Fantasy,19
The king announces a dangerous quest.,The king announces a dangerous quest. The path ahead splits into choices with unknown fates.,Adventure,15
The spaceship loses contact with Earth.,"The spaceship loses contact with Earth. A new ally appears, offering wisdom and guidance.",Horror,14
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. You uncover secrets that change your destiny forever.,Fantasy,16
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. Your courage is tested as the story unfolds.,Adventure,16
You stumble upon a secret underground library.,You stumble upon a secret underground library. The artifact in your hand begins to glow with power.,Fantasy,17
A detective receives a letter with no return address.,A detective receives a letter with no return address. The path ahead splits into choices with unknown fates.,Sci-Fi,18
You wake up in a haunted castle.,You wake up in a haunted castle. The path ahead splits into choices with unknown fates.,Horror,16
A detective receives a letter with no return address.,A detective receives a letter with no return address. The journey takes an unexpected turn as shadows creep closer.,Mystery,19
You stumble upon a secret underground library.,You stumble upon a secret underground library. The path ahead splits into choices with unknown fates.,Horror,16
An old wizard offers you two potions.,An old wizard offers you two potions. The path ahead splits into choices with unknown fates.,Horror,16
A detective receives a letter with no return address.,A detective receives a letter with no return address. The world around you shifts into something unrecognizable.,Horror,17
A stranger gives you a key with strange symbols.,"A stranger gives you a key with strange symbols. A new ally appears, offering wisdom and guidance.",Sci-Fi,17
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. You uncover secrets that change your destiny forever.,Fantasy,17
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The world around you shifts into something unrecognizable.,Adventure,17
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. You uncover secrets that change your destiny forever.,Sci-Fi,16
The king announces a dangerous quest.,The king announces a dangerous quest. The artifact in your hand begins to glow with power.,Sci-Fi,16
You wake up in a haunted castle.,You wake up in a haunted castle. You feel a strange energy guiding your path forward.,Mystery,16
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The world around you shifts into something unrecognizable.,Mystery,17
The king announces a dangerous quest.,The king announces a dangerous quest. You feel a strange energy guiding your path forward.,Fantasy,15
You stumble upon a secret underground library.,"You stumble upon a secret underground library. A new ally appears, offering wisdom and guidance.",Mystery,15
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. You feel a strange energy guiding your path forward.,Sci-Fi,15
The spaceship loses contact with Earth.,"The spaceship loses contact with Earth. A new ally appears, offering wisdom and guidance.",Adventure,14
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The world around you shifts into something unrecognizable.,Mystery,16
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. Voices whisper promises of power and betrayal.,Adventure,13
The king announces a dangerous quest.,The king announces a dangerous quest. Your courage is tested as the story unfolds.,Horror,14
The king announces a dangerous quest.,The king announces a dangerous quest. The journey takes an unexpected turn as shadows creep closer.,Horror,16
You wake up in a haunted castle.,You wake up in a haunted castle. Voices whisper promises of power and betrayal.,Adventure,14
You stumble upon a secret underground library.,You stumble upon a secret underground library. You uncover secrets that change your destiny forever.,Fantasy,15
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The journey takes an unexpected turn as shadows creep closer.,Mystery,19
A detective receives a letter with no return address.,A detective receives a letter with no return address. The path ahead splits into choices with unknown fates.,Horror,18
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The journey takes an unexpected turn as shadows creep closer.,Adventure,18
You find a map with an 'X' marked in the desert.,"You find a map with an 'X' marked in the desert. Danger lurks in every corner, but hope keeps you moving.",Adventure,21
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The world around you shifts into something unrecognizable.,Horror,14
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. Voices whisper promises of power and betrayal.,Sci-Fi,15
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The journey takes an unexpected turn as shadows creep closer.,Horror,16
You stumble upon a secret underground library.,"You stumble upon a secret underground library. A new ally appears, offering wisdom and guidance.",Horror,15
You stumble upon a secret underground library.,You stumble upon a secret underground library. Your courage is tested as the story unfolds.,Horror,15
A detective receives a letter with no return address.,A detective receives a letter with no return address. The artifact in your hand begins to glow with power.,Horror,19
You stumble upon a secret underground library.,You stumble upon a secret underground library. Voices whisper promises of power and betrayal.,Mystery,14
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. You uncover secrets that change your destiny forever.,Sci-Fi,14
A detective receives a letter with no return address.,A detective receives a letter with no return address. The artifact in your hand begins to glow with power.,Mystery,19
A child discovers a talking animal in the garden.,"A child discovers a talking animal in the garden. A new ally appears, offering wisdom and guidance.",Mystery,17
The king announces a dangerous quest.,The king announces a dangerous quest. The artifact in your hand begins to glow with power.,Sci-Fi,16
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The path ahead splits into choices with unknown fates.,Horror,18
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The world around you shifts into something unrecognizable.,Horror,14
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. You uncover secrets that change your destiny forever.,Horror,16
You wake up in a haunted castle.,You wake up in a haunted castle. You uncover secrets that change your destiny forever.,Sci-Fi,15
The king announces a dangerous quest.,"The king announces a dangerous quest. Danger lurks in every corner, but hope keeps you moving.",Adventure,16
An old wizard offers you two potions.,An old wizard offers you two potions. The path ahead splits into choices with unknown fates.,Sci-Fi,16
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. Your courage is tested as the story unfolds.,Mystery,17
You stumble upon a secret underground library.,You stumble upon a secret underground library. Your courage is tested as the story unfolds.,Sci-Fi,15
The king announces a dangerous quest.,The king announces a dangerous quest. The world around you shifts into something unrecognizable.,Fantasy,14
A detective receives a letter with no return address.,A detective receives a letter with no return address. The path ahead splits into choices with unknown fates.,Sci-Fi,18
You wake up in a haunted castle.,"You wake up in a haunted castle. Danger lurks in every corner, but hope keeps you moving.",Mystery,17
The spaceship loses contact with Earth.,"The spaceship loses contact with Earth. A new ally appears, offering wisdom and guidance.",Adventure,14
A detective receives a letter with no return address.,A detective receives a letter with no return address. You uncover secrets that change your destiny forever.,Mystery,17
The king announces a dangerous quest.,The king announces a dangerous quest. The world around you shifts into something unrecognizable.,Sci-Fi,14
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. Your courage is tested as the story unfolds.,Adventure,17
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The path ahead splits into choices with unknown fates.,Sci-Fi,18
A stranger gives you a key with strange symbols.,"A stranger gives you a key with strange symbols. Danger lurks in every corner, but hope keeps you moving.",Mystery,19
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. Your courage is tested as the story unfolds.,Adventure,17
An old wizard offers you two potions.,"An old wizard offers you two potions. Danger lurks in every corner, but hope keeps you moving.",Mystery,17
An old wizard offers you two potions.,An old wizard offers you two potions. You feel a strange energy guiding your path forward.,Sci-Fi,16
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The artifact in your hand begins to glow with power.,Sci-Fi,19
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The path ahead splits into choices with unknown fates.,Horror,18
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. Your courage is tested as the story unfolds.,Horror,17
You stumble upon a secret underground library.,You stumble upon a secret underground library. You uncover secrets that change your destiny forever.,Mystery,15
You wake up in a haunted castle.,"You wake up in a haunted castle. A new ally appears, offering wisdom and guidance.",Adventure,15
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The world around you shifts into something unrecognizable.,Sci-Fi,17
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Your courage is tested as the story unfolds.,Mystery,17
You wake up in a haunted castle.,You wake up in a haunted castle. Your courage is tested as the story unfolds.,Mystery,15
You stumble upon a secret underground library.,You stumble upon a secret underground library. You uncover secrets that change your destiny forever.,Sci-Fi,15
The king announces a dangerous quest.,The king announces a dangerous quest. The world around you shifts into something unrecognizable.,Horror,14
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. You feel a strange energy guiding your path forward.,Mystery,15
A detective receives a letter with no return address.,A detective receives a letter with no return address. Voices whisper promises of power and betrayal.,Adventure,16
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. Voices whisper promises of power and betrayal.,Horror,13
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The path ahead splits into choices with unknown fates.,Horror,17
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The world around you shifts into something unrecognizable.,Mystery,19
You wake up in a haunted castle.,You wake up in a haunted castle. The world around you shifts into something unrecognizable.,Adventure,15
An old wizard offers you two potions.,An old wizard offers you two potions. The artifact in your hand begins to glow with power.,Sci-Fi,17
An old wizard offers you two potions.,An old wizard offers you two potions. Voices whisper promises of power and betrayal.,Horror,14
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The path ahead splits into choices with unknown fates.,Adventure,18
A detective receives a letter with no return address.,A detective receives a letter with no return address. The world around you shifts into something unrecognizable.,Adventure,17
An old wizard offers you two potions.,An old wizard offers you two potions. You feel a strange energy guiding your path forward.,Mystery,16
You stumble upon a secret underground library.,You stumble upon a secret underground library. Your courage is tested as the story unfolds.,Adventure,15
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The world around you shifts into something unrecognizable.,Fantasy,19
A mysterious glowing stone appears in the forest.,"A mysterious glowing stone appears in the forest. A new ally appears, offering wisdom and guidance.",Fantasy,16
A mysterious glowing stone appears in the forest.,"A mysterious glowing stone appears in the forest. A new ally appears, offering wisdom and guidance.",Mystery,16
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. Voices whisper promises of power and betrayal.,Adventure,16
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The world around you shifts into something unrecognizable.,Mystery,19
You stumble upon a secret underground library.,You stumble upon a secret underground library. The artifact in your hand begins to glow with power.,Horror,17
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. You feel a strange energy guiding your path forward.,Horror,20
A detective receives a letter with no return address.,A detective receives a letter with no return address. You uncover secrets that change your destiny forever.,Horror,17
An old wizard offers you two potions.,"An old wizard offers you two potions. A new ally appears, offering wisdom and guidance.",Mystery,15
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The artifact in your hand begins to glow with power.,Adventure,19
An old wizard offers you two potions.,An old wizard offers you two potions. The world around you shifts into something unrecognizable.,Adventure,15
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. You feel a strange energy guiding your path forward.,Sci-Fi,20
The spaceship loses contact with Earth.,"The spaceship loses contact with Earth. Danger lurks in every corner, but hope keeps you moving.",Horror,16
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. Your courage is tested as the story unfolds.,Fantasy,16
The king announces a dangerous quest.,The king announces a dangerous quest. The path ahead splits into choices with unknown fates.,Mystery,15
A mysterious glowing stone appears in the forest.,"A mysterious glowing stone appears in the forest. Danger lurks in every corner, but hope keeps you moving.",Fantasy,18
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. Your courage is tested as the story unfolds.,Horror,19
The king announces a dangerous quest.,The king announces a dangerous quest. You feel a strange energy guiding your path forward.,Mystery,15
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The path ahead splits into choices with unknown fates.,Fantasy,15
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Your courage is tested as the story unfolds.,Horror,17
You stumble upon a secret underground library.,You stumble upon a secret underground library. The world around you shifts into something unrecognizable.,Fantasy,15
You stumble upon a secret underground library.,You stumble upon a secret underground library. The journey takes an unexpected turn as shadows creep closer.,Adventure,17
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The world around you shifts into something unrecognizable.,Sci-Fi,14
A detective receives a letter with no return address.,A detective receives a letter with no return address. The artifact in your hand begins to glow with power.,Adventure,19
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The journey takes an unexpected turn as shadows creep closer.,Sci-Fi,19
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The journey takes an unexpected turn as shadows creep closer.,Fantasy,19
An old wizard offers you two potions.,An old wizard offers you two potions. You uncover secrets that change your destiny forever.,Sci-Fi,15
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. Your courage is tested as the story unfolds.,Sci-Fi,14
You stumble upon a secret underground library.,You stumble upon a secret underground library. The journey takes an unexpected turn as shadows creep closer.,Adventure,17
An old wizard offers you two potions.,"An old wizard offers you two potions. A new ally appears, offering wisdom and guidance.",Horror,15
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. You uncover secrets that change your destiny forever.,Adventure,16
A stranger gives you a key with strange symbols.,"A stranger gives you a key with strange symbols. A new ally appears, offering wisdom and guidance.",Sci-Fi,17
You stumble upon a secret underground library.,You stumble upon a secret underground library. You feel a strange energy guiding your path forward.,Mystery,16
You stumble upon a secret underground library.,You stumble upon a secret underground library. The world around you shifts into something unrecognizable.,Sci-Fi,15
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. The world around you shifts into something unrecognizable.,Fantasy,19
A detective receives a letter with no return address.,A detective receives a letter with no return address. The artifact in your hand begins to glow with power.,Adventure,19
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The world around you shifts into something unrecognizable.,Mystery,14
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. Your courage is tested as the story unfolds.,Adventure,16
A mysterious glowing stone appears in the forest.,"A mysterious glowing stone appears in the forest. A new ally appears, offering wisdom and guidance.",Mystery,16
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The path ahead splits into choices with unknown fates.,Adventure,17
You stumble upon a secret underground library.,You stumble upon a secret underground library. You feel a strange energy guiding your path forward.,Horror,16
The king announces a dangerous quest.,The king announces a dangerous quest. The path ahead splits into choices with unknown fates.,Sci-Fi,15
You stumble upon a secret underground library.,You stumble upon a secret underground library. Your courage is tested as the story unfolds.,Mystery,15
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. The artifact in your hand begins to glow with power.,Fantasy,19
You wake up in a haunted castle.,"You wake up in a haunted castle. Danger lurks in every corner, but hope keeps you moving.",Mystery,17
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. You uncover secrets that change your destiny forever.,Sci-Fi,19
The king announces a dangerous quest.,The king announces a dangerous quest. You feel a strange energy guiding your path forward.,Horror,15
The king announces a dangerous quest.,The king announces a dangerous quest. The journey takes an unexpected turn as shadows creep closer.,Adventure,16
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The journey takes an unexpected turn as shadows creep closer.,Sci-Fi,19
You wake up in a haunted castle.,You wake up in a haunted castle. Your courage is tested as the story unfolds.,Sci-Fi,15
An old wizard offers you two potions.,"An old wizard offers you two potions. Danger lurks in every corner, but hope keeps you moving.",Horror,17
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The path ahead splits into choices with unknown fates.,Horror,17
A mysterious glowing stone appears in the forest.,A mysterious glowing stone appears in the forest. The world around you shifts into something unrecognizable.,Fantasy,16
A detective receives a letter with no return address.,A detective receives a letter with no return address. The artifact in your hand begins to glow with power.,Adventure,19
You stumble upon a secret underground library.,You stumble upon a secret underground library. You uncover secrets that change your destiny forever.,Adventure,15
You stumble upon a secret underground library.,You stumble upon a secret underground library. Voices whisper promises of power and betrayal.,Sci-Fi,14
You stumble upon a secret underground library.,You stumble upon a secret underground library. You uncover secrets that change your destiny forever.,Mystery,15
An old wizard offers you two potions.,An old wizard offers you two potions. Voices whisper promises of power and betrayal.,Horror,14
A detective receives a letter with no return address.,A detective receives a letter with no return address. Voices whisper promises of power and betrayal.,Fantasy,16
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. Your courage is tested as the story unfolds.,Mystery,14
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. You feel a strange energy guiding your path forward.,Horror,15
An old wizard offers you two potions.,"An old wizard offers you two potions. Danger lurks in every corner, but hope keeps you moving.",Sci-Fi,17
A detective receives a letter with no return address.,A detective receives a letter with no return address. You feel a strange energy guiding your path forward.,Adventure,18
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. You feel a strange energy guiding your path forward.,Mystery,15
The spaceship loses contact with Earth.,The spaceship loses contact with Earth. The world around you shifts into something unrecognizable.,Fantasy,14
A child discovers a talking animal in the garden.,A child discovers a talking animal in the garden. Voices whisper promises of power and betrayal.,Horror,16
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. The journey takes an unexpected turn as shadows creep closer.,Sci-Fi,19
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. You feel a strange energy guiding your path forward.,Horror,20
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Voices whisper promises of power and betrayal.,Mystery,16
An old wizard offers you two potions.,An old wizard offers you two potions. The artifact in your hand begins to glow with power.,Mystery,17
You find a map with an 'X' marked in the desert.,You find a map with an 'X' marked in the desert. Voices whisper promises of power and betrayal.,Fantasy,18
A detective receives a letter with no return address.,A detective receives a letter with no return address. You uncover secrets that change your destiny forever.,Adventure,17
A stranger gives you a key with strange symbols.,A stranger gives you a key with strange symbols. Voices whisper promises of power and betrayal.,Mystery,16
